age,gender,citizenship,event_location_region,date_of_event,date_of_death,type_of_injury,killed_by,year_of_death
23.0,M,Palestinian,West Bank,2023-05-06,2023-05-06,gunfire,Israeli security forces,2023
26.0,F,Palestinian,West Bank,2023-05-04,2023-05-04,gunfire,Israeli security forces,2023
35.0,M,Palestinian,West Bank,2023-05-04,2023-05-04,gunfire,Israeli security forces,2023
35.0,M,Palestinian,West Bank,2023-05-04,2023-05-04,gunfire,Israeli security forces,2023
45.0,M,Palestinian,West Bank,2023-05-04,2023-05-04,gunfire,Israeli security forces,2023
58.0,M,Palestinian,Gaza Strip,2023-05-02,2023-05-03,gunfire,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-05-01,2023-05-01,gunfire,Israeli security forces,2023
15.0,M,Palestinian,West Bank,2023-04-28,2023-04-28,gunfire,Israeli security forces,2023
39.0,M,Palestinian,West Bank,2023-04-27,2023-04-27,gunfire,Israeli security forces,2023
21.0,M,Palestinian,West Bank,2023-04-24,2023-04-24,gunfire,Israeli security forces,2023
38.0,M,Palestinian,West Bank,2023-04-11,2023-04-11,gunfire,Israeli security forces,2023
35.0,M,Palestinian,West Bank,2023-04-11,2023-04-11,gunfire,Israeli security forces,2023
17.0,M,Palestinian,West Bank,2023-04-10,2023-04-10,gunfire,Israeli security forces,2023
19.0,M,Palestinian,West Bank,2023-04-08,2023-04-08,gunfire,Israeli security forces,2023
16.0,F,Israeli,West Bank,2023-04-07,2023-04-07,gunfire,Palestinian civilians,2023
48.0,F,Israeli,West Bank,2023-04-07,2023-04-11,gunfire,Palestinian civilians,2023
20.0,F,Israeli,West Bank,2023-04-07,2023-04-07,gunfire,Palestinian civilians,2023
20.0,M,Palestinian,West Bank,2023-04-03,2023-04-03,gunfire,Israeli security forces,2023
42.0,M,Palestinian,West Bank,2023-04-03,2023-04-03,gunfire,Israeli security forces,2023
23.0,M,Palestinian,West Bank,2023-04-01,2023-04-01,gunfire,Israeli security forces,2023
24.0,M,Palestinian,West Bank,2023-03-23,2023-03-23,gunfire,Israeli security forces,2023
22.0,M,Palestinian,West Bank,2023-03-17,2023-03-17,gunfire,Israeli security forces,2023
29.0,M,Palestinian,West Bank,2023-03-16,2023-03-16,gunfire,Israeli security forces,2023
28.0,M,Palestinian,West Bank,2023-03-16,2023-03-16,gunfire,Israeli security forces,2023
35.0,M,Palestinian,West Bank,2023-03-16,2023-03-16,gunfire,Israeli security forces,2023
14.0,M,Palestinian,West Bank,2023-03-16,2023-03-16,gunfire,Israeli security forces,2023
24.0,M,Palestinian,West Bank,2023-03-12,2023-03-12,gunfire,Israeli security forces,2023
